comment_id,parent_id,author,text,published,like_count,is_top_level
UgyFO8kzVXe7DxaizHd4AaABAg,root,@sean7astic,"12:54 Airpods max, not Airpods Pro 2 😅",1756166400,0,
UgwFEUi5RevYHCxpt054AaABAg,root,@sztech9429,2 weeks for Sept9 iPhone 17 Series Event,1756166400,0,
UgwXdRbIoUcLAJZL6Fp4AaABAg,root,@anasshahid224,The iPhone 16 Pro is a phenomenal phone. Really enjoying it. 😊,1755993600,1,
UgxDQ8kpdQ7LuQMQo7t4AaABAg,root,@rd4k04,18.1 never got the new Siri :(,1754265600,0,
UgwAc1WHKA1r8TO4jZR4AaABAg,root,@anthonyfranalizi6106,i love your show!!!! i want the ipad you have up for give away!!!!!,1754006400,0,
UgwkfDphOiZST_wir1Z4AaABAg,root,@profilmwork,The side eye when you had the 🎧 on was hilarious 😂,1754006400,0,
UgyWhGjvPLgjJmNMBhx4AaABAg,root,@raazekunfakan,Iphone 21 will be the best Iphone in the world.,1751328000,0,
Ugwqd1L1wv0IO5Z2fSx4AaABAg,root,@hasanmohamethh,i catch you to,1748736000,0,
Ugxlbf4jEgWn2qZ82qx4AaABAg,root,@alexanderpersson8870,"Why does Apple have to cheap out so badly… was really stoked for a better battery. Well can only say I’m very dissapointed, really feels like they should put a 5000-6000mah like their competitors… especially with a price that high.",1748736000,0,
UgxS4xUEbh-ZLFoUnGN4AaABAg,root,@nfxjfrazjfrjrkzrj7pzisgxt,1:15 the moment🤣☕️,1743465600,2,
Ugw7u1sPpLrUfvuOgMF4AaABAg,root,@shahinq7,"At the beginning i was like its 100% the same as iphone 15promax but let me tell u after a while i can say its really upgraded in many ways ,not major upgrade but like the screen is bigger after a while u can see the more powerful chip and more battery and better camera with the new button and all and many more micro changes  I had 15 promax i bought the 16 promax , dont do that but if u have like a 12-13 yes upgrade it",1743465600,0,
UgyJjwsgAq-usMdTy_54AaABAg,root,@andymeissner8727,I have a shattered iPhone 12 and I’ve been contemplating getting the new iPhone but I don’t know if it’s even worth it after seeing reviews.,1743465600,0,
UgwWRiBD2qffWbNkOKx4AaABAg,root,@JRTIND,Can the combined will of 100 million Indian Bengalis build another sovereign Bengali state in the heart of the South Asia? What is your opinion on this?,1740787200,0,
UgygV4LzhTFPbY510M54AaABAg,root,@zen_mindset1,I love teal. But I'm Samsung girlie. Apple is nice thouugh.,1740787200,0,
UgxJ8zJL3dpVRrXPE6R4AaABAg,root,@sks4728,Saddest part for me is that iPhone 16 has a 60 FPS screen. 60 FPS... Let me repeat 60FPS!!!! Apple are you guys drunk?,1740787200,0,
UgzmKbF-zzPiDnFp6t14AaABAg,root,@MadiBendy,I didn’t even know i could do that with the camera button… will i use it though? Probably not,1738368000,0,
UgywptM5Jp-XufHj5q94AaABAg,root,@customerkodi4464,"Can we all collectively not buy this new phone, the ads are so dystopian and backwards and weird😭 like idk this Apple intelligence thing is so useless and only makes us shells of our former selves. Pls let’s just sit this one out ong",1738368000,0,
UgzBLr0X1jZGNV1teFl4AaABAg,root,@josephdoan1355,40k fan here. Phone color is a win,1738368000,0,
Ugz3JGONDAPn2q0ryRF4AaABAg,root,@hamza-chaudhry,"2:10 Think you've got more subs than that 6:08 *Good to hear 6:56 They need something to differentiate next year's phone  10:37 *Last year's Series 8 (or 9) 10:48 Of the existing Apple Watch Ultra (not 2) you mean?",1738368000,0,
Ugz3JGONDAPn2q0ryRF4AaABAg.ADPNtrPJLwRADPNuzeT7_Y,Ugz3JGONDAPn2q0ryRF4AaABAg,@hamza-chaudhry,0:05 10:11 12:18 13:36 15:50 16:04,1738368000,0,
UgzAwhLaQRLmQpOorAl4AaABAg,root,@MartinGonzalez-n1w,You are so loved ❤️✝️,1738368000,1,
Ugy2IZ_vL0JWpP-AKoN4AaABAg,root,@ColMayne,Seriously? Apple is just sitting back doing NOTHING and collecting money. Guys - at least wait to upgrade until they ACTUALLY make significant changes.,1735689600,0,
UgzLfVySTQo5LCDCqC14AaABAg,root,@HehsooS,When you say the slider is (intuitive) does that mean its registering that regularities in movement and hovering movement and stroke motion?,1735689600,0,
UgyRUNhfw5Vb7oBt_rZ4AaABAg,root,@HeatherParker-t1e,This is interesting memory and phone by having a rainbow uv ray flash type words  on white color alphabet letters,1735689600,0,
Ugxg6cI_34hDf5bMAf94AaABAg,root,@Masterslothyyy,Nahh all the did is remove one camera 💀,1735689600,0,
UgyFRWSFKh-4yn0lQBF4AaABAg,root,@alexl6433,Apparently 13 pro max has a better camera,1735689600,0,
Ugw6Wm-VLUx-BoIR8x14AaABAg,root,@luisop4570,Please talk about the blu haze in long expusre night photos....,1735689600,0,
UgzpvWuyrqBNT96FS094AaABAg,root,@TheGigiparce0,Sometimes I wonder…what if Jobs was still alive? Would apple be doing what they’re doing right now? They don’t even know what else to add to the damn thing to charge full price to what is basically the same phone on and on every year.,1733011200,0,
Ugzl-3b6-OZ6GsDSWul4AaABAg,root,@ayugitabhagawanti5095,When will we get to turn on flashlight when we recording a video like an android? 😅,1733011200,0,
UgxPbLiMMDHskaYTdhB4AaABAg,root,@aubreybondoc,I am receiving a free iPhone upgrade every year so I don't have a choice but to go with it.,1733011200,0,
UgxPbLiMMDHskaYTdhB4AaABAg.ABBPBX2TZuDABpBlpIONlP,UgxPbLiMMDHskaYTdhB4AaABAg,@xploration1437,It’s not free…,1735689600,1,
Ugzt_oH8zcZTF527WHF4AaABAg,root,@mattwoolley,Being in the walled garden of Apple is like living with an abusive spouse you cannot divorce.,1733011200,0,
UgxodDlYVi1mFZJhFzJ4AaABAg,root,@cj10109,So new button. Got it 😅,1733011200,0,
