transaction_id,items
1,"['heart', 'hand', 'desperationtorn', 'struggling', 'triumph', 'could', 'got', 'doesnt', 'baby', 'salmon', 'adapting', 'else', 'feel', 'rapid', 'struggle', 'protect', 'anyone', 'gave', 'feed', 'nature', 'tiny', 'similar', 'learning', 'moment', 'instinct', 'gasped', 'real', 'absolutely', 'somehow', 'need', 'mother', 'taste', 'broke', 'new', 'young', 'yet', 'hope', 'family', 'thought', 'human', 'arent', 'animal', 'felt', 'finally', 'raw', 'survivingtheyre', 'kindness', 'watched', 'forced', 'cub', 'actually']"
2,"['hmin', 'nay', 'ghiya', 'maan', 'blaak', 'kata', 'ghaar', 'bicho', 'olta', 'thay', 'khud']"
3,"['like', 'two', 'sleep', 'good', 'luck', 'sound', 'food', 'truth', 'pay']"
4,"['hand', 'amazed', 'planet', 'stunning', 'secret', 'beauty', 'corner', 'area', 'nature', 'uhd', 'thrives', 'video', 'journey', 'witness', 'bbc', 'earth', 'undisturbed', 'human', 'prepare', 'untouched', 'wonder', 'inspired']"
5,"['amazed', 'planet', 'like', 'stunning', 'secret', 'beauty', 'area', 'ready', 'get', 'nature', 'hidden', 'flourish', 'uhd', 'quality', 'captivated', 'journey', 'bbc', 'earth', 'undisturbed', 'prepare', 'untouched', 'take', 'wonder', 'never']"
6,"['discover', 'planet', 'amazed', 'supreme', 'stunning', 'gem', 'beauty', 'corner', 'nature', 'hidden', 'reign', 'resolution', 'journey', 'bbc', 'earth', 'prepare', 'untouched', 'surround', 'inspired', 'glory']"
7,"['god', 'thank', 'animal', 'live', 'creating', 'amazing', 'moment', 'beautiful', 'world', 'creature']"
8,"['capturing', 'exploration', 'stunning', 'gem', 'secret', 'area', 'masterpiece', 'finest', 'nature', 'hidden', 'visual', 'footage', 'quality', 'incredible', 'witness', 'bbc', 'earth', 'untouched', 'truly']"
9,"['gem', 'stunning', 'natural', 'beauty', 'highlight', 'nature', 'hidden', 'everywhere', 'visual', 'footage', 'lover', 'journey', 'earth', 'landscape', 'intriguing', 'untouched', 'wildlife', 'state', 'mesmerizing', 'showcasing', 'mustwatch']"
10,"['paid', 'character', 'every', 'actor']"
11,"['touching', 'favourite', 'hahaha', 'food']"
12,"['according', 'survival', 'darvin', 'fittest']"
13,"['beautiful', 'speaking', 'honestly']"
14,"['beautiful', 'speaking', 'honestly']"
15,"['step', 'planet', 'feast', 'secret', 'beauty', 'area', 'nature', 'uhd', 'eye', 'breathtaking', 'video', 'bbc', 'earth', 'reminder', 'landscape', 'prepare', 'untouched', 'awestruck', 'truly', 'awaits', 'mesmerizing']"
16,"['bear', 'grocery', 'learns', 'mother', 'aisle', 'nature', 'tough', 'store', 'love']"
17,"['who', 'running', 'alien', 'show', 'nature', 'ancient', 'edition', 'really']"
18,"['touching', 'capturing', 'reminds', 'protecting', 'powerful', 'thank', 'guiding', 'beauty', 'documentary', 'nature', 'legacy', 'reveals', 'bear', 'mother', 'symbol', 'emotion', 'wild', 'matter', 'also', 'raw', 'cub', 'filmmaker']"
19,"['embark', 'human', 'mother', 'untouched', 'wonder', 'nature', 'hidden', 'secret', 'spot', 'stunning', 'see', 'uncover']"
20,"['fishseeking', 'family', 'wild', 'dive', 'hidden', 'feisty', 'adventure', 'treasure', 'world']"
21,"['nature', 'soothes', 'thing', 'beautiful']"
22,"['team', 'planet', 'protecting', 'thank', 'stunning', 'beauty', 'highlight', 'precious', 'area', 'conservation', 'ecosystem', 'documentary', 'sheer', 'showcasing', 'footage', 'absolutely', 'incredible', 'importance', 'breathtaking', 'scale', 'journey', 'really', 'sharing', 'bbc', 'earth', 'job', 'fragility', 'untouched', 'wonder', 'done']"
23,"['bbc', 'earth', 'strong', 'sneaky', 'nature', 'hidden', 'adventure', 'uhd', 'gem', 'camouflage', 'game', 'antelope', 'uncover']"
24,"['wherever', 'forest', 'like', 'keep', 'palm', 'vegetable', 'find', 'garbage', 'combat', 'plant', 'plastic', 'child', 'farmer', 'medicinal', 'facebook', 'orange', 'group', 'etc', 'change', 'page', 'everyone', 'pond', 'fruit', 'adverse', 'tree', 'coconut', 'water', 'flower', 'lemon', 'health', 'jackfruit', 'free', 'life', 'banyan', 'world', 'increase', 'important', 'save', 'pomegranate', 'lover', 'release', 'want', 'climate', 'surroundings', 'grapefruit', 'sea', 'tell', 'jam', 'facility', 'cutting', 'encourage', 'thank', 'maintain', 'malta', 'come', 'jamrul', 'river', 'space', 'environment', 'mother', 'preventing', 'throw', 'dragon', 'designated', 'aim', 'encroach', 'cultivate', 'take', 'country', 'pollution', 'cultivation', 'date', 'care', 'conducive', 'kadbel', 'careful', 'agricultural', 'business', 'land', 'effect', 'neem', 'banana', 'forward', 'dredging', 'waste', 'share', 'olive', 'comment', 'house', 'clean', 'fry', 'survive', 'let', 'stop', 'love', 'association', 'place', 'depth', 'betel', 'canal', 'opinion', 'fish']"
25,"['balancing', 'act', 'protection', 'nature', 'action', 'motherhood', 'survival', 'fierce', 'love', 'witness']"
26,"['nail', 'bear', 'know', 'camera', 'show', 'momma', 'right']"
27,"['landscape', 'finest', 'animal', 'nature', 'remote', 'unruly', 'uncover']"
28,"['bold', 'fortune', 'favour']"
29,"['good', 'take', 'video']"
30,"['que', 'narracin', 'documental', 'desarrollo', 'naturalidad', 'del', 'magnfico']"
