word1,word2,count
bbc,earth,11
earth,nature,10
beauty,nature,10
nature,untouched,10
earth,untouched,9
bbc,nature,8
earth,planet,8
beauty,earth,8
beauty,untouched,8
nature,stunning,8
planet,untouched,8
hidden,nature,8
hidden,untouched,8
bbc,stunning,7
mother,nature,7
bbc,video,7
beauty,planet,7
stunning,untouched,7
earth,hidden,7
secret,untouched,7
area,untouched,7
earth,stunning,7
nature,planet,7
bbc,beauty,6
bbc,untouched,6
beauty,journey,6
earth,journey,6
journey,untouched,6
earth,video,6
human,nature,6
area,earth,6
human,untouched,6
nature,secret,6
area,planet,5
area,beauty,5
corner,planet,5
beauty,stunning,5
corner,untouched,5
beauty,secret,5
journey,stunning,5
nature,witness,5
area,nature,5
animal,nature,5
journey,planet,5
earth,secret,5
nature,wonder,5
journey,nature,5
nature,truly,5
earth,wildlife,5
planet,secret,5
planet,wonder,5
hidden,stunning,5
earth,incredible,5
hidden,planet,5
hidden,secret,5
beauty,hidden,5
untouched,wonder,5
bbc,planet,5
area,secret,5
nature,raw,5
area,bbc,5
bear,nature,5
earth,human,4
nature,video,4
nature,uhd,4
nature,prepare,4
journey,wonder,4
planet,prepare,4
human,secret,4
earth,uhd,4
earth,wonder,4
corner,earth,4
beauty,video,4
beauty,wonder,4
beauty,corner,4
earth,prepare,4
human,planet,4
nature,wild,4
footage,stunning,4
stunning,wonder,4
secret,wonder,4
earth,gem,4
secret,stunning,4
untouched,video,4
bbc,hidden,4
hidden,journey,4
earth,like,4
gem,hidden,4
like,planet,4
gem,nature,4
corner,hidden,4
bbc,truly,4
capturing,nature,4
like,nature,4
beauty,prepare,4
amazed,untouched,4
area,journey,4
amazed,planet,4
bbc,secret,4
area,wonder,4
hand,human,4
cub,mother,4
cub,nature,4
amazed,beauty,4
moment,nature,4
bbc,uhd,4
bbc,prepare,4
corner,human,4
corner,nature,4
area,stunning,4
bbc,journey,4
nature,thank,4
footage,nature,4
hidden,human,4
beautiful,nature,4
animal,wild,4
nature,survival,4
nature,wisdom,4
beauty,raw,4
nature,wildlife,4
bear,mother,4
love,nature,4
beauty,documentary,4
mesmerizing,nature,4
prepare,untouched,4
nature,think,4
every,nature,4
planet,stunning,4
journey,secret,3
nature,thrives,3
hand,nature,3
cub,raw,3
animal,human,3
amazed,secret,3
amazed,stunning,3
area,prepare,3
area,human,3
amazed,journey,3
amazed,earth,3
amazed,nature,3
amazed,prepare,3
area,witness,3
area,uhd,3
amazed,corner,3
amazed,bbc,3
journey,prepare,3
earth,thrives,3
hand,secret,3
hand,untouched,3
human,thrives,3
human,wonder,3
earth,witness,3
hand,planet,3
beauty,human,3
beauty,hand,3
corner,thrives,3
corner,secret,3
corner,hand,3
corner,journey,3
beauty,uhd,3
bbc,wonder,3
mother,raw,3
beauty,never,3
witness,wonder,3
thrives,untouched,3
amazed,hidden,3
area,hidden,3
prepare,secret,3
planet,video,3
planet,thrives,3
prepare,uhd,3
prepare,stunning,3
secret,uhd,3
uhd,untouched,3
untouched,witness,3
footage,untouched,3
footage,incredible,3
earth,footage,3
earth,truly,3
amazing,animal,3
area,truly,3
bbc,footage,3
bbc,incredible,3
gem,stunning,3
gem,untouched,3
like,untouched,3
bbc,gem,3
earth,never,3
hidden,wonder,3
bbc,quality,3
planet,uhd,3
secret,witness,3
secret,video,3
beauty,breathtaking,3
breathtaking,earth,3
highlight,untouched,3
also,nature,3
nature,really,3
bbc,breathtaking,3
breathtaking,mesmerizing,3
earth,mesmerizing,3
landscape,nature,3
beauty,mesmerizing,3
truly,untouched,3
beauty,highlight,3
incredible,untouched,3
incredible,nature,3
mother,thank,3
documentary,protecting,3
capturing,mother,3
capturing,cub,3
beauty,wild,3
beauty,thank,3
bear,capturing,3
bear,cub,3
breathtaking,nature,3
bbc,thank,3
bear,camera,3
stunning,thank,3
good,video,3
nature,thing,3
nature,uncover,3
adventure,hidden,3
human,pure,3
video,watching,3
animal,video,3
place,planet,3
nature,pure,3
guest,like,3
guest,planet,3
like,moment,3
channel,video,3
channel,earth,3
bbc,channel,3
like,video,3
generation,nature,3
amazing,video,3
animal,earth,3
much,video,3
